攻	~;,
功	;;
帝	~;.
急	~;/
办	;a
鲁	;b
色	;c
刀	;d
皱	;e
方	;f
工	;g
黑	;h
饿	;j
鳞	;k
力	;l
解	;m
恐	;n
免	;o
饱	;p
气	;q
危	;r
食	;s
兔	;t
久	;u
尔	;v
放	;w
象	;x
鱼	;y
边	;z
命	~a,
空	a;
字	~a.
拿	~a/
完	aa
八	ab
官	ac
突	ad
家	ae
分	af
骨	ag
寒	ah
爱	ai
见	aj
实	ak
它	al
剑	am
安	an
合	ao
爷	ap
盆	aq
宏	ar
兮	as
定	at
宰	au
公	av
容	aw
穴	ax
元	ay
远	az
界	~b,
晚	b;
明	~b.
早	~b/
鬼	ba
白	bb
思	bc
映	bd
皇	be
果	bg
最	bh
时	bj
是	~~bk
电	bl
母	bm
向	bo
邮	bp
冒	bq
日	br
易	bs
量	bt
景	bu
影	bv
显	bw
囟	bx
由	by
题	bz
心	~c,
虹	c;
留	~c.
虽	~c/
充	ca
巴	cb
出	cc
医	cd
异	ch
蝮	ci
导	cj
也	~~ck
民	cl
赢	co
巨	cp
必	cr
蛭	ct
蚁	cu
乐	cv
改	cw
区	cx
已	cy
追	cz
往	~d,
刻	~d.
夫	~d/
得	db
独	dc
大	dd
狂	de
行	dg
猎	dh
子	~~di
奇	dj
孔	dl
莫	dm
般	dn
知	do
奈	dp
盘	dq
很	dr
失	ds
秦	dt
太	du
孙	dv
微	dw
径	dx
以	dy
达	dz
王	~e,
差	e;
灵	~e.
帮	~e/
现	ea
毒	eb
悲	ec
美	ed
理	ee
非	ef
环	eg
班	eh
珍	ei
金	ej
着	~~ek
里	el
再	en
吾	eo
全	eq
表	er
素	es
残	et
玉	eu
肆	ev
五	ew
姜	ex
羊	ey
逐	ez
地	~f,
老	~f.
却	~f/
先	fa
半	fb
志	fc
物	~~fd
重	fe
特	ff
干	fg
制	~~fh
士	~~fi
场	fj
平	fk
无	fl
赤	fm
反	fn
后	fo
都	fp
千	fq
牲	fr
考	fs
土	ft
击	fu
去	fv
午	fw
下	fx
于	fy
者	fz
想	~g,
弥	g;
张	~g.
二	~g/
松	ga
强	gc
李	gd
样	ge
板	gf
森	gg
费	gh
来	gk
林	gl
木	gm
机	gn
速	go
标	gp
相	gq
根	gr
专	gs
本	gt
不	~~gu
整	gw
树	gx
引	gy
还	gz
且	~h,
苏	h;
师	~h.
紧	~h/
具	ha
黄	hb
芒	hc
归	he
基	hf
蓝	hh
花	hi
井	hj
联	hk
甚	hl
帅	hm
期	hn
敬	ho
节	hp
其	hq
斯	hr
药	hs
某	ht
芸	hu
悬	hv
警	hw
取	hx
苦	hy
进	hz
复	~i,
你	i;
做	~i.
从	~i/
份	ia
但	ib
他	ic
人	~~id
任	ie
件	if
体	ig
年	ih
何	ij
僧	ik
化	il
们	~~im
内	in
保	io
候	ip
俩	iq
作	is
会	iu
今	iv
修	iw
便	ix
个	iy
仇	iz
及	~j,
招	j;
才	~j.
拉	~j/
控	ja
提	jb
把	jc
排	je
拱	jh
打	jj
可	jk
找	jl
摇	jm
挥	jn
事	jo
护	jp
看	jq
折	jr
手	js
司	jt
接	ju
我	~~jw
习	jx
过	jz
笑	~k,
为	k;
精	~k.
斗	~k/
管	ka
并	~~kb
长	kc
关	kd
等	kf
第	kg
前	kh
次	ki
尊	kj
冰	kk
断	kl
米	km
将	kn
总	ko
片	kp
算	kq
道	kr
水	ks
头	kt
求	ku
冶	kv
普	kw
数	kx
冲	~~ky
迷	kz
感	~l,
式	l;
错	~l.
切	~l/
输	la
比	lb
车	lc
代	ld
键	le
转	lg
划	lh
软	li
成	lj
锐	lk
钢	ln
或	lo
袋	lp
七	lq
银	lr
世	ls
威	lt
较	lu
东	lv
锋	lw
轻	lx
毕	ly
连	lz
马	~m,
敷	m;
雪	~m.
州	~m/
觉	ma
雷	mb
爬	mc
学	md
当	me
堂	mf
用	~~mg
则	mh
顺	mi
南	mk
贼	ml
常	mm
带	mn
驶	mo
骗	mp
震	mr
受	ms
光	mt
尝	mu
骏	mv
败	mw
变	mx
雨	my
露	mz
然	~n,
膀	n;
间	~n.
风	~n/
脸	na
闷	nc
肤	nd
月	~~ne
闻	nh
几	nj
脱	nk
军	nl
门	nm
多	nn
问	no
那	np
腰	nq
写	ns
同	nt
凡	nu
脑	nw
刚	nx
外	ny
嘿	o;
只	oa
吧	oc
吼	od
靠	oe
吓	of
告	og
哎	oh
吃	oi
哦	oj
口	ok
呢	~~ol
吗	om
哪	on
器	oo
啊	op
唯	oq
听	or
号	os
呀	ot
哼	ou
唉	ov
味	~~ow
叹	ox
叫	oy
中	~~oz
房	p;
视	pa
神	pb
初	~~pc
存	pd
祥	pe
在	pf
声	~~pg
阻	ph
队	pi
阿	pj
屏	pk
阵	pl
薄	pm
虎	pn
哀	po
遍	pq
随	pr
示	ps
卫	pt
层	pu
莎	pv
落	pw
被	px
衣	py
尾	pz
要	~q,
静	q;
眼	~q.
青	~q/
四	qa
醒	qb
配	qc
因	qd
国	qe
睡	qf
围	qg
瞒	qh
西	~~qi
团	qj
两	ql
目	qm
罗	qn
回	qo
飘	qp
亲	qq
新	qr
蜀	qs
罡	qt
醉	qu
眸	qv
图	qw
囡	qx
置	qy
眦	qz
入	~r,
左	r;
友	~r.
布	~r/
既	ra
原	rb
生	re
压	rf
广	rg
度	rh
即	~~rj
乎	rk
底	~~rl
应	rm
有	rn
右	ro
所	rp
自	rq
系	rs
厉	rt
么	rv
灰	rw
庞	rx
质	ry
近	rz
绝	~s,
红	s;
终	~s.
结	~s/
给	sa
细	sb
统	sc
忽	sd
绿	se
绪	sf
组	sh
纳	si
级	sj
继	sk
乱	sl
通	sm
躲	sn
够	so
编	sp
维	sq
身	ss
线	st
辞	su
勾	sv
敌	sw
经	sx
与	sy
适	sz
到	~t,
称	t;
面	~t.
确	~t/
百	tb
秘	tc
天	td
互	te
开	th
万	tj
一	~~tk
武	tl
稍	tm
丽	tn
和	to
碾	tp
而	tq
矿	tr
石	ts
碎	tu
至	tv
灭	tw
种	~~ty
正	tz
动	u;
说	~~ua
记	uc
该	ud
语	ue
许	uf
高	ug
讲	uh
认	ui
讨	uj
永	uk
立	ul
市	um
调	un
部	uo
谑	up
谁	uq
诉	ur
话	us
让	~~ut
主	~~uu
就	uv
谈	uw
义	ux
云	uy
运	uz
没	~v,
江	v;
少	~v.
清	~v/
深	va
激	vb
流	vc
参	vd
洋	ve
法	vf
漆	vg
满	vh
海	vi
了	vj
函	vk
渐	vl
测	vm
能	vn
小	~~vo
书	vp
省	vq
三	vs
浅	vt
注	vu
沙	vv
淡	vw
波	vx
湖	vy
游	vz
处	~w,
务	w;
各	~w.
条	~w/
备	wb
恶	wc
峡	wd
发	wf
别	wh
加	wj
这	~~wk
另	wl
驾	wm
岁	wn
炽	wo
烟	wq
山	ws
离	wu
峻	wv
文	ww
巍	wx
业	wy
更	~x,
劲	x;
难	~x.
欢	~x/
观	xa
她	xc
好	xd
妇	xe
圣	xf
杀	xg
姐	xh
对	xj
嫌	xk
龙	xl
妈	xm
女	xn
如	xo
皮	xp
姻	xq
希	xr
鸡	xs
嫣	xt
叉	xu
始	xv
娅	xw
双	xx
又	xy
丈	xz
协	y;
真	~~ya
怕	yb
忙	yc
快	yd
悟	ye
卡	yf
古	yg
直	yh
怜	yi
竟	yj
戴	yl
悄	ym
索	yn
愕	yo
卢	yp
情	yq
性	yr
十	ys
上	yt
惊	yu
叔	yv
收	yw
怪	yx
朝	yy
章	yz
此	~z,
超	z;
战	~z.
路	~z/
踪	za
踢	zb
起	zc
族	zd
踌	ze
趣	zh
之	~~zi
九	zj
飞	zk
些	zl
毛	zm
点	zn
躁	zo
跑	zp
躅	zq
跟	zr
蹂	zs
践	zt
走	~~zu
步	zv
蹦	zw
赵	zx
迅	zy
足	zz
