选重：

攻	;,
帝	;.
急	;/
命	a,
字	a.
拿	a/
界	b,
明	b.
早	b/
心	c,
留	c.
虽	c/
往	d,
刻	d.
夫	d/
王	e,
灵	e.
帮	e/
地	f,
老	f.
却	f/
想	g,
张	g.
二	g/
且	h,
师	h.
紧	h/
复	i,
做	i.
从	i/
及	j,
才	j.
拉	j/
笑	k,
精	k.
斗	k/
感	l,
错	l.
切	l/
马	m,
雪	m.
州	m/
然	n,
间	n.
风	n/
要	q,
眼	q.
青	q/
入	r,
友	r.
布	r/
绝	s,
终	s.
结	s/
到	t,
面	t.
确	t/
没	v,
少	v.
清	v/
处	w,
各	w.
条	w/
更	x,
难	x.
欢	x/
此	z,
战	z.
路	z/

无理：

是	bk
也	ck
子	di
着	ek
物	fd
制	fh
士	fi
不	gu
人	id
们	im
我	jw
并	kb
冲	ky
用	mg
月	ne
呢	ol
味	ow
中	oz
初	pc
声	pg
西	qi
即	rj
底	rl
一	tk
种	ty
说	ua
让	ut
主	uu
小	vo
这	wk
真	ya
之	zi
走	zu

简词：
工作	;i
最后	bf
时候	bi
时间	bn
出现	ce
出去	cf
出来	cg
改变	cm
虽然	cn
必要	cq
已经	cs
以为	d;
大家	da
以后	df
知道	dk
非常	em
现在	ep
地方	f;
不是	gb
不会	gi
不过	gj
不能	gv
进行	hd
进来	hg
他们	ii
什么	ir
今天	it
可以	jd
过去	jf
过来	jg
我们	ji
可能	jv
事情	jy
管理	ke
或者	lf
比较	ll
感觉	lm
学习	mj
需要	mq
问题	nb
然后	nf
那样	ng
那个	ni
那么	nr
多少	nv
那些	nz
只是	ob
存在	pp
因为	qk
自己	rc
所以	rd
即使	ri
所有	rr
应该	ru
怎样	sg
怎么	sr
一定	ta
一下	tf
一样	tg
一个	ti
一种	tt
开始	tx
就是	ub
没有	vr
这儿	wa
这里	we
这样	wg
这个	wi
发展	wp
这么	wr
这种	wt
这些	wz
如果	xb
好像	xi
情况	yk
之后	zf
起来	zg
