的	的 的话 的确
一	一 一个 一定 一些 一般 一样
是	是 是否 是不是 是的 是以 是非
在	在 在于 在内 在家 在场 在外
不	不 不能 不是 不同 不仅 不过
了	了 了解 了不起
有	有 有些 有关 有的 有人 有时
和	和 和平 和谐 和尚 和气 和睦
人	人 人们 人民 人类 人物 人员
这	这 这个 这样 这些 这里 这时
中	中 中国 中心 中央 中间 中国共产党
大	大 大家 大量 大小 大学 大大
为	为 为了 为什么 为主 为此 为止
上	上 上海 上面 上述 上去 上升
个	个 个人 个体 个别 个性 个体经济
国	国 国家 国际 国民经济 国民党 国内
我	我 我们 我国 我军 我俩 我们俩
以	以 以后 以及 以上 以前 以来
要	要 要求 要是 要素 要不 要紧
地	地 地方 地区 地位 地球 地上
他	他 他们 他人 他俩 他家 他妈的
时	时 时候 时间 时期 时代 时刻
来	来 来说 来到 来看 来自 来源
用	用 用于 用来 用力 用不着 用以
生	生 生产 生活 生命 生长 生物
到	到 到了 到底 到处 到达 到来
作	作 作用 作为 作品 作出 作家
于	于 于是 于右任
出	出 出来 出现 出去 出发 出口
就	就 就是 就要 就是说 就业 就算
分	分 分析 分别 分子 分布 分之
对	对 对于 对象 对方 对立 对待
成	成 成为 成功 成立 成果 成分
会	会 会议 会上 会计 会见 会场
可	可 可以 可能 可是 可见 可以说
主	主 主要 主张 主义 主任 主体
发	发 发展 发生 发现 发挥 发出
年	年 年代 年轻 年龄 年前 年纪
动	动 动物 动作 动力 动机 动员
同	同 同时 同志 同样 同学 同一
工	工 工作 工业 工人 工具 工厂
也	也 也是 也许 也就是 也就是说 也好
能	能 能够 能力 能量 能源 能否
下	下 下来 下去 下面 下降 下午
过	过 过程 过去 过来 过渡 过多
子	子 子女 子弹 子孙 子弟 子宫
说	说 说明 说话 说过 说法 说道
产	产 产生 产品 产量 产物 产业
种	种 种子 种类 种植 种种 种族
行	行 行为 行动 行政 行业 行星
面	面 面前 面积 面对 面貌 面临
而	而 而且 而是 而已 而后 而言
方	方 方面 方法 方向 方式 方针
后	后 后来 后面 后者 后果 后期
多	多 多少 多么 多种 多数 多次
定	定 定律 定义 定理 定额 定期
学	学 学生 学习 学校 学者 学科
法	法 法律 法国 法制 法院 法规
所	所 所以 所谓 所有 所在 所有制
着	着 着重 着急 着手 着呢 着想
民	民 民族 民主 民间 民兵 民众
得	得 得到 得出 得了 得以 得意
经	经 经济 经过 经验 经营 经常
十	十 十分 十二 十一 十五 十九
三	三 三十 三角形 三中全会 三百 三千
之	之 之间 之后 之一 之中 之外
进	进 进行 进一步 进入 进步 进来
等	等 等等 等于 等待 等到 等级
部	部 部门 部分 部队 部位 部长
度	度 度过 度数 度量
家	家 家庭 家里 家伙 家乡 家长
电	电 电子 电流 电视 电话 电影
力	力 力量 力学 力气 力求 力图
里	里 里面 里边 里头 里根
如	如 如果 如何 如此 如今 如下
水	水 水平 水分 水中 水里 水面
化	化 化学 化合物 化合 化学反应 化石
高	高 高兴 高度 高级 高低 高温
都	都 都会 都市 都督
自	自 自己 自然 自由 自身 自我
二	二 二十 二氧化碳 二者 二百 二十五
