Mass number	质量数
Atomic number	原子序数
Nuclear decay	衰变
positron	正电子
transmutation	人工核反应
Nuclear fission/fusion	核裂/聚变
endergonic	吸热的
exergonic	放热的
malleability	可塑性
ductility	延展性
Directly polarized	正向极化
Inversely polarized	反向极化
rectifier	整流器
transistor	晶体管
tetragonal	四方晶格
hexagonal	六方晶格
rhombohedral	三方晶格
orthorhombic	正交晶格
monoclinic	单斜晶格
triclinic	三斜晶格
titrant	滴定剂
closoborane	闭式硼烷
nidoborane	巢式硼烷
arachnoborane	网式硼烷
monodentate	单齿配体
Multidentate/chelate	多齿配体
transmetallation	转金属反应
Double replacement	取代反应
hydrometallation	烯加成反应
hapticity	配位电子数
Heme protein	血红蛋白
Relative supersaturation	相对过饱和
Gravimetry	重量法
complexometry	络合滴定法
Laporte rule	宇称选律
eluent	洗脱液
eluate	洗出液
solute	溶质
chromatogram	色谱图
gravity-fed	重力给料
resin	树脂
Molecular sieve	分子筛
thermogram	热力图
thermogravimetry	热重法
vessel	容器
Colligative properties	依数性
Osmotic pressure	渗透压
Laminar velocity	层流速度
Syn conformation	全重叠
Eclipsed conformation	半重叠
diastereomers	非对映异构体
aldoses	醛糖
ketoses	酮糖
monosaccharides	单糖
disaccharide	双糖
oligosaccharide	寡糖
polysaccharide	多糖
epimer	差向异构体
anomer	端基异构体
peptide	肽
Prosthetic group	辅基
terpene	萜
steroid	类固醇
prostaglandins	前列腺素
electrophoresis	电泳
pipet	吸量管
