一	一ＹＩ
了	乛亅Ｌ
是	日一止
不	不ＢＵ
我	手戈Ｗ
这	文辶Ｚ
在	Ｐ土Ｚ
人	人ＲＮ
有	冃Ｙ
他	亻也Ｔ
来	未丷Ｌ
个	人丨Ｇ
道	首丿辶
你	亻小
大	大ＤＡ
到	一土刂
着	目Ｚ
就	高小尢
上	卜一Ｓ
们	亻门Ｍ
那	月阝Ｎ
也	也ＹＥ
说	讠丷儿
么	丿厶Ｍ
下	下ＸＡ
出	出ＣＵ
然	夕丶灬
地	土也Ｄ
中	口丨Ｚ
看	目Ｋ
时	日寸Ｓ
要	覀女Ｙ
没	氵殳Ｍ
天	一大Ｔ
过	寸辶Ｇ
可	可ＫＥ
自	丿目Ｚ
子	子ＺＩ
能	厶冃匕
还	不辶Ｈ
之	之ＺＩ
以	以ＹＩ
去	土厶Ｑ
好	女子Ｈ
后	Ｆ口Ｈ
为	冫力Ｗ
都	者阝Ｄ
会	人云Ｈ
里	里ＬＩ
心	心ＸＮ
得	彳日寸
对	又寸Ｄ
身	身ＳＮ
手	手ＳＵ
起	走己Ｑ
小	小ＸＯ
想	木目心
只	口八Ｚ
而	丆皿Ｅ
和	禾口Ｈ
头	头ＴＵ
她	女也Ｔ
无	干乚Ｗ
力	力ＬＩ
面	丆罒二
己	己ＪＩ
如	女口Ｒ
现	王见Ｘ
什	亻十Ｓ
样	木羊Ｙ
多	夕夕Ｄ
已	已ＹＩ
知	矢口Ｚ
些	止匕二
经	纟又工
声	声ＳＧ
前	首前Ｑ
神	礻日丨
笑	丿大
事	丁口彐
开	一廾Ｋ
点	占灬Ｄ
方	方ＦＧ
眼	目艮Ｙ
发	发ＦＡ
所	尸斤
但	亻日一
气	气ＱＩ
法	氵土厶
意	立日心
情	忄青Ｑ
两	两ＬＧ
生	丿Ｓ
家	宀豕Ｊ
间	门日Ｊ
将	丬夕寸
很	彳艮Ｈ
真	十且八
话	讠舌Ｈ
成	戊Ｃ
让	讠卜一
被	衤皮Ｂ
老	耂匕Ｌ
动	云力Ｄ
当	彐Ｄ
用	用ＹＧ
于	于ＹＵ
见	见ＪＮ
回	囗口Ｈ
又	又ＹＵ
军	冖车Ｊ
把	扌巴Ｂ
此	止匕Ｃ
才	才ＣＩ
几	几ＪＩ
战	占戈Ｚ
正	一止Ｚ
龙	龙ＬＧ
明	日月Ｍ
从	人人Ｃ
却	土厶卩
长	长ＣＧ
十	十ＳＩ
三	三ＳＮ
女	女ＮＵ
光	一儿
再	王冂Ｚ
向	白口Ｘ
实	宀头Ｓ
最	日耳又
行	彳亍Ｘ
高	高ＧＯ
本	木一Ｂ
打	扌丁Ｄ
定	宀一止
进	井辶Ｊ
魔	广林儿
风	风ＦＧ
给	纟亼口
问	门口Ｗ
国	囗王丶
色	巴Ｓ
同	冂一口
种	禾口丨
走	走ＺＵ
其	其ＱＩ
年	井Ｎ
口	口ＫＵ
王	王ＷＧ
怎	乍心Ｚ
边	力辶Ｂ
次	冫欠Ｃ
全	全ＱＮ
白	白ＢＩ
吧	口巴Ｂ
儿	儿ＥＲ
感	戊一心
果	日木Ｇ
听	口斤Ｔ
啊	口阝可
体	亻木一
外	夕卜Ｗ
死	歹匕Ｓ
飞	乙冫Ｆ
分	分ＦＮ
主	主ＺＵ
觉	学见Ｊ
住	亻主Ｚ
少	少ＳＯ
比	比ＢＩ
空	穴工Ｋ
因	囗大Ｙ
门	门ＭＮ
等	土寸
轻	车又工
直	十且Ｚ
第	弓丿
候	亻尸矢
脸	月亼兴
相	木目Ｘ
强	弓虽Ｑ
何	亻可Ｈ
张	弓长Ｚ
快	忄夬Ｋ
做	亻古攵
重	千里Ｚ
与	与ＹＵ
太	大丶Ｔ
应	广兴Ｙ
刚	冂乂刂
接	扌立女
位	亻立Ｗ
便	亻丈日
量	日一里
更	丈日Ｇ
难	又隹Ｎ
名	夕口Ｍ
二	二ＥＲ
内	内ＮＩ
连	车辶Ｌ
水	水ＳＩ
西	西ＸＩ
黑	黑ＨＩ
马	马ＭＡ
部	立口阝
入	丿丶Ｒ
作	亻乍Ｚ
吗	口马Ｍ
兵	丘八Ｂ
师	刂一巾
虽	虽ＳＩ
别	另刂Ｂ
击	干凵Ｊ
放	方攵Ｆ
完	宀元Ｗ
四	囗儿Ｓ
灵	彐火Ｌ
公	八厶Ｇ
并	首廾Ｂ
先	儿Ｘ
处	夂卜Ｃ
士	士ＳＩ
剑	亼兴刂
算	目廾
东	七小Ｄ
机	木几Ｊ
微	微几Ｗ
城	土戊
火	火ＨＯ
变	亦又Ｂ
叫	口丩Ｊ
清	氵青Ｑ
带	卅冖巾
杀	乂朩Ｓ
斯	其斤Ｓ
李	木子Ｌ
队	阝人Ｄ
云	云ＹＮ
者	者ＺＥ
望	亡月王
原	厂白小
竟	竟ＪＧ
像	亻象Ｘ
惊	忄高小
呢	口尸匕
安	安ＡＮ
山	山ＳＮ
星	日丿
族	族矢Ｚ
海	氵母
月	月ＹＥ
加	加ＪＡ
金	金ＪＮ
目	目ＭＵ
特	牜土寸
跟	艮Ｇ
场	土Ｊ彳
林	林ＬＮ
由	由ＹＵ
万	丆Ｗ
美	大Ｍ
任	亻壬Ｒ
使	亻丈口
日	日ＲＩ
立	立ＬＩ
命	亼口卩
思	田心Ｓ
关	丷大Ｇ
百	丆日Ｂ
转	车二
理	王里Ｌ
常	尚巾Ｃ
血	丿皿Ｘ
乎	丿丷丁
受	受ＳＵ
离	文凵冂
该	讠亥Ｇ
界	田人刂
远	元辶Ｙ
平	干丷Ｐ
阵	阝车Ｚ
物	牜勹彳
冷	冫亽
数	米女攵
信	亻言Ｘ
刻	亥刂Ｋ
至	一厶土
突	穴大丶
失	失ＳＩ
怪	忄又土
随	阝辶
五	五ＷＵ
反	反ＦＮ
找	扌戈Ｚ
似	亻以Ｓ
许	讠午Ｘ
般	舟殳Ｂ
武	一弋止
雷	雨田Ｌ
非	非ＦＩ
奇	大可Ｑ
通	用辶
解	用牛
绝	纟巴
怕	忄白Ｐ
精	米青Ｊ
修	亻夂彡
暗	日立日
满	氵艹两
双	又又Ｓ
度	广廿又
且	且ＱＥ
红	纟工Ｈ
半	半ＢＮ
世	世ＳＩ
始	女厶口
倒	亻一刂
拉	扌立Ｌ
今	亽乛Ｊ
它	宀匕Ｔ
落	落各Ｌ
攻	工攵Ｇ
学	学子Ｘ
尔	小Ｅ
传	亻二
音	立日Ｙ
指	扌匕日
路	各Ｌ
越	走戈乚
表	ｒＢ
石	石ＳＩ
容	宀谷Ｒ
紧	刂又小
哥	可可Ｇ
合	亼口Ｈ
罗	罒夕Ｌ
利	禾刂Ｌ
冲	冫口丨
步	止少Ｂ
够	勹口夕
影	日小彡
姐	女且Ｊ
伤	亻力
若	艹口
亲	亲ＱＮ
功	工力Ｇ
整	木攵止
弟	丷弓丿
丝	丝丝一
息	丿目心
吃	口乙
众	人人人
花	艹亻匕
势	执力Ｓ
早	日十Ｚ
哈	口亼口
帝	旁巾Ｄ
流	氵充川
团	囗才Ｔ
青	青ＱＧ
根	木艮Ｇ
极	木及Ｊ
静	青亅
形	一廾彡
即	艮卩Ｊ
深	氵木
周	冂土口
近	斤辶Ｊ
千	千ＱＮ
消	氵冃
结	纟吉Ｊ
制	牛冂刂
干	干ＧＮ
帮	丰阝巾
速	木口辶
楚	林乛止
性	忄丿
备	夂田Ｂ
系	丿幺小
言	言ＹＮ
提	扌日止
教	耂子攵
皇	白王Ｈ
令	亽Ｌ
文	文ＷＮ
雪	雨彐Ｘ
谁	讠隹Ｓ
终	纟夂冫
必	心丿Ｂ
站	立占Ｚ
化	亻匕Ｈ
哪	口月阝
破	石皮Ｐ
认	讠人Ｒ
忙	忄亡Ｍ
往	彳主Ｗ
玉	王丶Ｙ
级	纟及Ｊ
车	车ＣＥ
底	广Ｃ七
总	丷口心
坐	人人土
巨	匚尸Ｊ
男	田力Ｎ
显	日业Ｘ
克	古儿Ｋ
各	各ＧＥ
新	亲斤Ｘ
斗	斗ＤＵ
仙	亻山Ｘ
急	彐心
切	七刀Ｑ
阳	阝日Ｙ
叶	口十Ｙ
领	亽页
收	丩攵Ｓ
衣	衣ＹＩ
敢	乛耳攵
异	巳廾Ｙ
围	囗二卩
达	大辶Ｄ
象	象ＸＧ
件	亻牛Ｊ
错	钅日
服	月卩又
慢	忄日又
保	亻口木
办	力八Ｂ
活	氵舌Ｈ
喜	吉首口
片	片ＰＮ
杨	木Ｊ彳
兴	兴八Ｘ
刀	刀ＤＯ
摇	扌爫缶
准	冫隹Ｚ
夜	亠亻夂
拿	亼口手
电	日乚Ｄ
交	亠父Ｊ
条	夂朩Ｔ
朝	十十月
华	亻匕十
管	宀官
断	米乚斤
兽	丷田口
决	冫夬Ｊ
尽	尺冫Ｊ
苦	艹古Ｋ
依	亻衣Ｙ
易	日勹彳
八	八ＢＡ
则	贝刂Ｚ
露	雨各
语	讠五口
兰	首二Ｌ
闪	门人Ｓ
冰	冫水Ｂ
足	足ＺＵ
记	讠己Ｊ
德	彳十心
响	口白口
害	宀丰口
及	及ＪＩ
球	王氺丶
